institution,Date,Title,URL,tone,mentions_cooperation,mentions_competition,cooperation_type,thematic_tags,justification,length_words
BGU,19.06.2025,סטודנטים וסטודנטיות לרפואת חירום נרתמים לסייע בפינוי חולים מסורוקה,https://www.bgu.ac.il/articles/following-rocket-strikes-at-soroka-medical-center-emergency-medicine-students-at-bgu-to-help-evacuate-patients/,cooperative,yes,no,industry,emergency response;medical education;community service,The article highlights collaboration with MDA and the Ministry of Health to aid patient evacuation.,196
BGU,16.06.2025,מתרגלים הדמיה רפואית גם מהבית - בבית הספר לרפואה,https://www.bgu.ac.il/articles/medical-students-at-ben-gurion-university-of-the-negev-practice-medical-imaging-from-home/,neutral,no,no,none,medical education;simulation;technology,No signs of competition or collaboration were found.,247
BGU,12.06.2025,השוואה מצמררת: אנלוגיה בין שירת השואה ואירועי 7 באוקטובר,https://www.bgu.ac.il/articles/israeli-documentary-poetry-coming-of-age-with-the-state/,neutral,no,no,none,poetry;literature;Holocaust;Israeli identity,No signs of competition or collaboration were found.,399
BGU,11.06.2025,מחזירים לפצועי המלחמה את המוטיבציה והשליטה,https://www.bgu.ac.il/articles/restoring-motivation-and-control-to-war-wounded/,mixed,yes,yes,international;industry;inter-university,innovation;rehabilitation;technology;social impact,The article highlights both collaborative efforts in development and competitive achievements in winning awards.,547
BGU,10.06.2025,מתנות מן הים: מולקולות מאלמוגים במקום אנטיביוטיקה,https://www.bgu.ac.il/articles/coral-derived-molecules-disrupt-bacterial-communication/,cooperative,yes,no,international,antibiotic resistance;biofilm;quorum sensing,The article highlights international collaboration and joint efforts in research with Nanyang Technological University.,453
BGU,09.06.2025,האוניברסיטה משיקה את בית ספר סגול לרפואה בינלאומית,https://www.bgu.ac.il/articles/bgu-launches-sagol-medical-school-for-international-health/,cooperative,yes,no,inter-university;international,education;healthcare;innovation,The article emphasizes a partnership with Sagol Network to build a global academic and medical infrastructure.,286
BGU,09.06.2025,לא יורדים במשקל? הגוף ממשיך להגיב בעוצמה,https://www.bgu.ac.il/articles/the-weight-loss-resistance-phenomenon/,cooperative,yes,no,international,obesity;nutrition;health benefits;genetics,The article highlights international cooperation among universities for research.,829
BGU,29.05.2025,הנשק מול מחלת הסרטן: תאי T המבוססים על טכנולוגיית ייצור שבבים,https://www.bgu.ac.il/articles/t-cells/,cooperative,yes,no,inter-university;international,cancer research;immunotherapy research;genetic engineering;nanotechnology,The article highlights collaboration between multiple universities and research groups in developing advanced CAR T cell treatments.,828
BGU,26.05.2025,לראשונה מאז שנות ה-90': ספר מקיף חדש על האבולוציה של תכונות מהלך החיים,https://www.bgu.ac.il/articles/michal-sagoli-book/,neutral,no,no,none,evolution;biology;publication;life history,No signs of competition or collaboration were found.,389
BGU,25.05.2025,פרופ' יגאל שוורץ נבחר לאקדמיה הישראלית למדעים,https://www.bgu.ac.il/articles/prof-yigal-schwartz-elected-to-the-israel-academy-of-sciences-and-humanities/,cooperative,yes,no,international,science;literature;academia,The article highlights the collective efforts and contributions to strengthening Israel's position in the global scientific community.,229
BGU,18.05.2025,חוסן חברתי והתמודדות עם משבר ה-7 באוקטובר בקרב קבוצות שונות,https://www.bgu.ac.il/articles/social-resilience-and-engagement-with-the-october-7-crisis/,neutral,yes,no,none,sociology;psychology;multiculturalism,The article focuses on a sociological study without highlighting competition or collaboration.,350
BGU,15.05.2025,הייתה זו שעתם היפה ביותר,https://www.bgu.ac.il/articles/bgu-honorary-doctorates-2025/,neutral,no,no,none,ceremony;recognition;academia;philanthropy;innovation,The article is informative about an honorary doctorate ceremony and does not emphasize competition or collaboration.,1089
BGU,15.05.2025,"לרבע מהשכירים במשק אין פנסיית חובה, מרביתם צעירים מהעשירון התחתון",https://www.bgu.ac.il/articles/quarter-of-employed-do-not-have-a-mandatory-pension/,neutral,no,no,none,pension coverage;employment data;social impact,No signs of competition or collaboration were found.,868
BGU,13.05.2025,חוקרים יצרו מאגר של מודלי שפה המאבחנים מקרים רפואיים מורכבים,https://www.bgu.ac.il/articles/researchers-created-large-scale-database-of-language-models-to-diagnose-complex-medical-cases/,neutral,no,yes,none,language models;medical diagnosis;research findings;performance evaluation,The article evaluates the performance of language models without mentioning collaboration but highlighting comparative analysis and model performances.,527
BGU,07.05.2025,יובל לבית הספר לרפואה באוניברסיטת בן-גוריון בנגב,https://www.bgu.ac.il/articles/jubilee-for-the-school-of-medicine-at-ben-gurion-university-of-the-negev/,mixed,yes,yes,inter-university;international,celebration;healthcare;education;impact,The article highlights both the cooperative aspects of the school's community focus and its competitive achievements and reputation.,457
BGU,06.05.2025,"פרס בלווטניק היוקרתי למדענים צעירים הוענק לד""ר בן פלמר",https://www.bgu.ac.il/articles/ben-palmer-blavatnik-award/,competitive,no,yes,none,awards;innovation;excellence,The article emphasizes prestigious awards and the university's international standing.,501
BGU,05.05.2025,בכבוד רב - הענקת תארי דוקטור לשם כבוד,https://www.bgu.ac.il/articles/honorary-doctorate-2025/,neutral,no,yes,none,awards;distinguished individuals;human excellence;academic achievements;social contribution;artistic influence,The article emphasizes exceptional achievements and awards without highlighting competition or collaboration.,863
BGU,28.04.2025,צ'אט עם דוד בן-גוריון,https://www.bgu.ac.il/articles/chat-dbg/,mixed,yes,yes,industry;technology;history;innovation;heritage,The article discusses both the collaboration with tech companies and innovative historical presentation, without any dominant aspect.,586
BGU,21.04.2025,"פרס יוקרתי לדוקטורנט תום גבריאלי,  בכנס האגודה האמריקאית לגיאופיזיקה",https://www.bgu.ac.il/articles/tom-gavrieli/,competitive,no,yes,none,seismology;awards;innovation,The article emphasizes the prestigious award won by a student at a major conference.,228
BGU,09.04.2025,אלגוריתם חדש מפענח את סודות החלבונים שלנו,https://www.bgu.ac.il/articles/ai-algorithm-spots-hidden-disease-clues-in-protein-networks/,cooperative,yes,no,inter-university;industry;international,biotechnology;bioinformatics;network analysis;healthcare;open access,The article highlights collaboration between researchers from different fields and institutions for developing the algorithm.,316
BGU,09.04.2025,גבולות נזילים: תערוכה חדשה בגלריית טרומפלדור,https://www.bgu.ac.il/articles/liquid-borders/,cooperative,yes,no,inter-university,art;exhibition;boundaries;Israeli society,The article highlights a collaboration between the university's arts department and the Trompldor Gallery for the exhibition.,290
BGU,06.04.2025,המרפא למצוקות שנגרמו מהמלחמה: ספרי ילדים,https://www.bgu.ac.il/articles/student-project-will-help-children-cope-with-the-consequences-of-war/,cooperative,yes,no,inter-university,psychology;childrens literature;community support;mental health,The article highlights a collaborative project involving multiple departments and experts to support mental health through children's literature.,325
BGU,02.04.2025,"ברשימת החוקרים המובילים בתחום התפלת מים:  ד""ר עודד ניר ממכון צוקרברג לחקר המים",https://www.bgu.ac.il/articles/water-desalination-dr-oded-nir-the-desert-research-institutes/,competitive,no,yes,none,desalination;innovative research;awards,The article emphasizes the prestigious recognition and the innovative contributions of Dr. Nir.,185
