institution,Date,Title,URL,tone,mentions_cooperation,mentions_competition,cooperation_type,thematic_tags,justification,length_words
BIU,15.06.2025 | יט סיון,זקוקים לתמיכה נפשית? פנו לשירותי החוסן של בר-אילן,https://www.biu.ac.il/article/583617,mixed,yes,no,none,mental health;community support,The article emphasizes community support and collective coping strategies without competition.,144
BIU,13.06.2025 | יז סיון,פעילות האוניברסיטה בשבוע האחרון של סמסטר ב',https://www.biu.ac.il/article/583616,neutral,no,no,none,announcements;education;schedule,No signs of competition or collaboration were found.,345
BIU,09.06.2025 | יג סיון,דיפנס-טק: החזית השקטה של הביטחון הישראלי,https://www.biu.ac.il/article/583601,cooperative,yes,yes,inter-university;industry;international,defense;technology;innovation;collaboration;research,The article highlights collaboration between academia,558
BIU,09.06.2025 | יג סיון,מרתון כתיבה - מפקק תנועה לאוטוסטרדה של מילים,https://www.biu.ac.il/article/583596,cooperative,yes,no,inter-university,research support;academic life;writing challenges,The article highlights collaborative efforts in organizing writing marathons to support academic writing.,639
BIU,03.06.2025 | ז סיון,המכון הלאומי לאגירת אנרגיה - צועדים לעתיד בר-קיימא,https://www.biu.ac.il/article/583574,cooperative,yes,no,inter-university;industry;societal,energy storage;academia;climate tech,The article highlights collaboration between universities and industries for energy solutions.,499
BIU,03.06.2025 | ז סיון,"מפתח אפליקציות, חונך מצטיין ומילואימניק",https://www.biu.ac.il/article/583573,mixed,yes,yes,inter-university;industry,volunteering;mentorship;military;education,The article highlights both Artyom's achievements and his extensive collaborative efforts in mentorship and volunteering.,461
BIU,27.05.2025 | כט אייר,מהיסוס לחיבוק: כך התפתחו היחסים בין הודו לישראל,https://www.biu.ac.il/article/583541,mixed,yes,yes,industry;international relations;defense;innovation,The article discusses strategic cooperation in defense and technology as well as India's unique positioning and competitive strategic shifts in its foreign policy, highlighting both collaboration and competition.,533
BIU,25.05.2025 | כז אייר,אבן פינה לעתיד הרפואה בגליל,https://www.biu.ac.il/article/583534,cooperative,yes,no,inter-university;industry;international,infrastructure;medical education;research collaboration,The article emphasizes the cooperative aspect with multiple foundations and international research initiatives.,247
BIU,20.05.2025 | כב אייר,"""השער החדש הוא סמל למחויבות שלנו כלפי דור העתיד""",https://www.biu.ac.il/article/583519,neutral,no,no,none,infrastructure;architecture;donation,No signs of competition or collaboration were found.,333
BIU,24.04.2025 | כו ניסן,בינה מלאכותית לא הרגה את מדעי המחשב. היא חיזקה אותם.,https://www.biu.ac.il/article/583418,neutral,no,no,none,education;artificial intelligence;computer science,No signs of competition or collaboration were found.,446
