institution,Date,Title,URL,tone,mentions_cooperation,mentions_competition,cooperation_type,thematic_tags,justification,length_words
Weizmann Institut,27.06.2025,בדיקת הדם שתזהה סיכון ללוקמיה – ועשויה להחליף שאיבת מח עצם,https://heb.wis-wander.weizmann.ac.il/life-sciences/n-12258,mixed,yes,yes,institution;international,health;hematology;innovation;disease_prevention;clinical_research,The article mentions groundbreaking research with clinical trials indicating cooperation,481
Weizmann Institut,05.06.2025,"""מדע יכול לשנות חיים, לחולל מהפכות, ואולי אפילו לתקן את העולם""",https://heb.wis-wander.weizmann.ac.il/campus/n-12255,mixed,yes,yes,international,graduation;challenges;international collaboration;war,The article discusses both international collaboration efforts and challenges faced due to ongoing conflict,975
Weizmann Institut,29.05.2025,חוש השומן,https://heb.wis-wander.weizmann.ac.il/life-sciences/n-12254,cooperative,yes,no,international,neuroscience;metabolism;obesity;collaboration,The article highlights international collaboration with multiple research institutes.,737
Weizmann Institut,27.05.2025,המנגנון שעוזר למזון להחליק בגרון,https://heb.wis-wander.weizmann.ac.il/life-sciences/n-12251,neutral,no,no,none,immunology;research,No signs of competition or collaboration were found.,932
Weizmann Institut,19.05.2025,"MRI, בקטנה",https://heb.wis-wander.weizmann.ac.il/chemistry/n-12248,cooperative,yes,no,inter-university;industry,technology;quantum physics;medicine;innovation,The article highlights collaborative research involving multiple universities and emphasizes technological advancement.,801
Weizmann Institut,15.05.2025,סימפוניה לשפם ולתאי עצב,https://heb.wis-wander.weizmann.ac.il/life-sciences/n-12246,neutral,no,no,none,sensory integration;neuroscience;animal behavior,No signs of competition or collaboration were found.,811
Weizmann Institut,12.05.2025,לראות מבעד לסדק,https://heb.wis-wander.weizmann.ac.il/space-physics/n-12244,mixed,yes,yes,inter-university,material science;fracture dynamics;computational modeling;physics,The article discusses collaboration between scientists to understand fracture dynamics but also highlights the uniqueness and competition of findings in the field.,998
Weizmann Institut,05.05.2025,להוציא לשומנים את המיץ',https://heb.wis-wander.weizmann.ac.il/life-sciences/n-12241,mixed,yes,yes,inter-university,obesity;scientific-research;health;genetics,The article discusses both partnership with international researchers and highlights innovative research findings.,750
Weizmann Institut,28.04.2025,עלתה על הרדאר,https://heb.wis-wander.weizmann.ac.il/computer-science-math/n-12239,cooperative,yes,no,industry;international,healthcare;technology;research collaboration,The article emphasizes the collaborative nature of the project involving medical professionals and various researchers to develop a new health monitoring system.,676
Weizmann Institut,22.04.2025,להרדים את הסרטן,https://heb.wis-wander.weizmann.ac.il/life-sciences/n-12236,mixed,yes,yes,inter-university;cancer research;genetics;international collaboration;cell biology,The article discusses both the cooperative research efforts and competitive elements such as innovations and findings in cancer research.,ERR,1046
